# ----------------------------------------
# The Headache Lab
# Untitled exploration-Free form 1
# 20260304-20260331
# ----------------------------------------

Page title,New users,Active users,Returning users,Total users,Sessions,Engagement rate,Average engagement time per session
,154,162,30,162,242,0.5495867768595041,42.19421487603306,Grand total
Migraine Specialist In Evergreen Park | The Headache Lab,74,84,16,84,128,0.640625,19.7265625
Meet Our Migraine Specialists In The Chicago Suburbs | The Headache Lab,15,25,4,25,29,0.6206896551724138,27.96551724137931
Our Story | Migraine Treatment Evergreen Park | The Headache Lab,14,19,2,19,19,0.6842105263157895,67.94736842105263
Botox For Blepharospasm & Eye Twitching | The Headache Lab,10,14,2,14,18,0.6111111111111112,31.88888888888889
Botox For Chronic Migraine Treatment | The Headache Lab,10,20,4,20,27,0.7037037037037037,32.2962962962963
"Migraine & Headache Treatment Westmont, IL | The Headache Lab",8,10,4,10,16,0.5,55
Botox For Cervical Dystonia Evergreen Park | The Headache Lab Neck Pain Relief,5,6,1,6,6,0.6666666666666666,114.66666666666667
About | The Headache Lab,3,5,1,5,8,0.875,5.5
Headache Specialist Evergreen Park | Contact The Headache Lab,3,18,4,18,23,0.7391304347826086,29.043478260869566
Links | The Headache Lab,2,2,0,2,2,0,0
Migraine Quiz | Find Your Headache Relief Plan – Evergreen Park,2,8,2,8,10,0.8,10.8
Page Not Found | The Headache Lab,2,4,1,4,9,0.6666666666666666,2.888888888888889
Patient Success Stories | Migraine & Headache Relief In Evergreen Park,2,2,0,2,2,0,0
Cervical Dystonia Treatment | The Headache Lab,1,6,2,6,6,1,69
Headache Specialist Evergreen Park Insurance & Billing | The Headache Lab,1,13,5,13,17,0.7647058823529411,26.235294117647058
Migraine & Headache Treatment | Expert Care At The Headache Lab,1,6,1,6,8,1,45.75
Patient Resources | The Headache Lab,1,3,0,3,3,1,20
Blepharospasm Treatment | The Headache Lab,0,3,1,3,3,1,6.333333333333333
Botox For Cervical Dystonia | The Headache Lab,0,4,3,4,6,0.6666666666666666,3.5
Botox Savings Program | The Headache Lab Evergreen Park,0,6,2,6,7,1,53.142857142857146
Chronic Headache Treatment | Evergreen Park & Westmont,0,1,0,1,1,1,9
Conditions We Treat | The Headache Lab,0,1,1,1,1,1,0
Treatment Options | Headache Specialist Evergreen Park – The Headache Lab,0,3,2,3,4,1,4.25

