# ----------------------------------------
# The Headache Lab
# Untitled exploration-Free form 1
# 20260304-20260331
# ----------------------------------------

Session source / medium,New users,Active users,Returning users,Total users,Sessions,Engagement rate,Average engagement time per session
,154,162,30,162,242,0.5495867768595041,42.19421487603306,Grand total
google / organic,88,93,20,93,141,0.5886524822695035,48.687943262411345
(direct) / (none),49,50,8,50,77,0.4935064935064935,31.766233766233768
(not set),6,8,1,8,8,0.5,20.875
bing / organic,6,6,1,6,7,0.7142857142857143,100.71428571428571
ig / social,2,2,0,2,2,0,0
duckduckgo / organic,1,1,0,1,1,1,15
kaegtcr.online / referral,1,1,0,1,1,0,0
sanganzhu.com / referral,1,1,0,1,1,0,0
l.facebook.com / referral,0,1,1,1,4,0.5,3.25

