Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
the head clinic,2,2,110,22,4.54,https://theheadachelab.com/,14,31.11,63.00,0.08,660000000,"[52,33,42,66,52,42,52,100,42,66,66,66]",2026-03-22,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
botox savings program,32,32,12100,25,1.03,https://theheadachelab.com/botox-savings-program-evergreen-park/,8,17.77,8.00,0.18,2250000,"[66,81,81,66,66,66,66,54,66,66,44,44]",2026-03-30,"Video, Image, Related searches",informational,Organic
will botox keep my eyes from clicking,10,10,1600,1,0.00,https://theheadachelab.com/botox-for-blepharospasm/,8,17.77,0.00,0,13900000,[100],2026-03-11,"Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
botoxsavingsprogram,19,19,2400,23,1.03,https://theheadachelab.com/botox-savings-program-evergreen-park/,7,15.55,7.00,0.18,81,"[43,65,54,81,100,36,29,54,54,65,54,29]",2026-03-31,"Video, Related searches",informational,Organic
the headache clinic,4,4,260,18,4.54,https://theheadachelab.com/,7,15.55,31.00,0.08,0,"[81,100,100,100,100,81,81,81,65,65,81,81]",2026-03-15,"Local pack, Video, Video Carousel, Related searches",commercial,Organic
botox savings plan,25,25,1000,23,1.03,https://theheadachelab.com/botox-savings-program-evergreen-park/,1,2.22,1.00,0.18,120,"[4,3,4,19,3,5,3,7,15,4,10,4]",2026-03-29,"Video, Related searches",informational,Organic
the headache,20,20,90,32,2.98,https://theheadachelab.com/,0,0,0.00,0.14,109000000,"[42,14,33,9,33,42,33,100,52,66,66,33]",2026-02-23,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
headache center of chicago,40,40,110,33,0.80,https://theheadachelab.com/meet-the-team/,0,0,0.00,0.21,130,"[66,42,23,52,100,80,66,52,100,52,14,52]",2026-03-20,"Local pack, Sitelinks, Video, Image, Related searches",navigational,Organic
headache center of chicago,71,71,110,33,0.80,https://theheadachelab.com/,0,0,0.00,0.21,130,"[66,42,23,52,100,80,66,52,100,52,14,52]",2026-03-20,"Local pack, Sitelinks, Video, Image, Related searches",navigational,Organic
www.botox savings program.com,37,37,140,20,5.74,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.61,0,"[53,53,100,53,43,34,43,43,43,53,21,28]",2026-03-18,Video,informational,Organic
migraine or headache quiz,23,23,50,1,0.00,https://theheadachelab.com/migraine-quiz-evergreen-park/,0,0,0.00,0,0,"[5,4,5,4,3,3,9,7,7,7,9,7]",2026-03-16,"Video, Image, Related searches",commercial,Organic
botox savings program.com,29,29,70,21,2.07,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.45,1770000,"[6,12,9,9,12,6,6,6,6,12,5,5]",2026-02-27,"Sitelinks, Video",navigational,Organic
where do you get botox injections for migraines,25,25,50,22,0.00,https://theheadachelab.com/migraine-treatment-evergreen-park/,0,0,0.00,0,0,"[45,36,45,36,18,9,18,36,63,63,100,63]",2026-03-07,"Video, Related searches, Discussions and forums, AI overview",informational,Organic
where do you get botox injections for migraines,40,40,50,22,0.00,https://theheadachelab.com/migraine-treatment-evergreen-park/,0,0,0.00,0,0,"[45,36,45,36,18,9,18,36,63,63,100,63]",2026-03-07,"Video, Related searches, Discussions and forums, AI overview",informational,Organic
how does botox prevent migraines,40,40,40,46,0.00,https://theheadachelab.com/botox-for-chronic-migraine/,0,0,0.00,0,1620000,"[0,0,35,35,7,7,7,7,14,64,64,64]",2026-03-05,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
botox for migraines locations,93,93,70,31,13.08,https://theheadachelab.com/migraine-treatment-evergreen-park/,0,0,0.00,0.21,5790000,"[18,18,36,100,45,0,63,100,63,63,100,81]",2026-02-25,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic
botox savings program migraine,16,16,70,29,0.00,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0,33300,"[55,55,77,44,77,77,100,77,100,55,77,100]",2026-03-07,"Sitelinks, Image, Related searches, AI overview",informational,Organic
eye twitch botox,52,52,40,11,4.14,https://theheadachelab.com/botox-for-blepharospasm/,0,0,0.00,0.03,651000,"[14,21,21,21,14,35,21,100,14,28,21,21]",2026-03-25,"Image pack, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
botox saving plan,29,29,40,30,12.23,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.42,13500000,"[42,57,57,57,42,57,57,57,42,57,57,57]",2026-02-26,"Sitelinks, Video, People also ask, Related searches, AI overview",transactional,Organic
botox and eye twitching,30,30,320,10,4.14,https://theheadachelab.com/botox-for-blepharospasm/,0,0,0.00,0.03,1980000,"[54,54,66,66,43,43,35,81,81,81,81,100]",2026-03-13,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
botox and eye twitching,43,43,320,10,4.14,https://theheadachelab.com/botox-for-blepharospasm/,0,0,0.00,0.03,1980000,"[54,54,66,66,43,43,35,81,81,81,81,100]",2026-03-13,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
diamond head clinic chicago,65,65,170,32,3.68,https://theheadachelab.com/meet-the-team/,0,0,0.00,0.16,3890000,"[23,44,44,44,44,28,11,23,23,18,8,15]",2026-03-26,"Knowledge panel, Video, Image, Related searches","informational, transactional",Organic
can botox make your eye twitch,49,49,50,14,0.00,https://theheadachelab.com/botox-for-blepharospasm/,0,0,0.00,0.01,501000,"[55,55,44,55,55,33,44,44,44,55,55,55]",2026-03-26,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
can botox make your eye twitch,65,65,50,14,0.00,https://theheadachelab.com/botox-for-blepharospasm/,0,0,0.00,0.01,501000,"[55,55,44,55,55,33,44,44,44,55,55,55]",2026-03-26,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
botox savings program phone number,32,32,390,31,1.79,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.3,1320000,"[43,81,100,100,100,66,81,66,66,81,81,66]",2026-03-04,"Sitelinks, People also ask, Related searches, AI overview",navigational,Organic
