name,country,visibility,difficulty,mentions,gap_mentions,volume,volume_trend,intents
Migraine and Headache Specialist Resources,us,0,68,0,theheadachelab.com:0;northwestneuro.com:2;chicagoheadache.com:2;innovative-medspa.com:0;synergyheadache.com:1,24500,0;0;0;0;0;68;80;87;100;78;76;76,task:2;informational:52;navigational:15;commercial:20;transactional:11
Chicago Headache and Neurology Clinics,us,0,37,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:10;innovative-medspa.com:0;synergyheadache.com:5,496,0;0;0;0;0;12;41;22;20;100;72;58,task:3;informational:25;navigational:51;commercial:13;transactional:8
neurology and neurological associations,us,0,69,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:1,2710,0;0;0;0;0;100;90;89;78;59;58;53,task:7;informational:56;navigational:8;commercial:24;transactional:5
Northwest Neurology and Neurologists in Chicago and Spokane,us,0,37,0,theheadachelab.com:0;northwestneuro.com:13;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:1,2518,0;0;0;0;0;93;87;70;75;100;100;94,task:2;informational:29;navigational:29;commercial:21;transactional:19
Brain Restoration and Neurology Clinics,us,0,64,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:1,1837,0;0;0;0;0;93;100;82;98;97;64;55,task:2;informational:40;navigational:19;commercial:34;transactional:5
Park Ridge Local Services and Locations,us,0,64,0,theheadachelab.com:0;northwestneuro.com:2;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:1,1177,0;0;0;0;0;81;100;87;36;35;42;32,task:7;informational:56;navigational:18;commercial:15;transactional:4
Neurology and ENT Services in Chicago,us,0,66,0,theheadachelab.com:0;northwestneuro.com:2;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:2,932,0;0;0;0;0;99;100;76;56;73;99;81,task:5;informational:36;navigational:10;commercial:33;transactional:16
Midwest Neurology and Neurologists in Illinois,us,0,40,0,theheadachelab.com:0;northwestneuro.com:3;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:2,682,0;0;0;0;0;100;77;74;59;54;43;37,task:7;informational:30;navigational:36;commercial:21;transactional:6
Neurosurgeons and Neurologists in Chicago,us,0,46,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:3,590,0;0;0;0;0;100;91;65;62;70;61;57,informational:59;navigational:11;commercial:24;transactional:6
Neurologists and Headache Specialists in Downers Grove,us,0,47,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:3;innovative-medspa.com:0;synergyheadache.com:1,565,0;0;0;0;0;100;86;76;37;37;41;26,task:1;informational:48;navigational:35;commercial:14;transactional:2
Neurologists in Naperville,us,0,31,0,theheadachelab.com:0;northwestneuro.com:2;chicagoheadache.com:1;innovative-medspa.com:0;synergyheadache.com:0,504,0;0;0;0;0;100;57;71;36;36;47;28,task:1;informational:21;navigational:48;commercial:20;transactional:10
Neurologist and Clinic Locations,us,0,72,0,theheadachelab.com:0;northwestneuro.com:5;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:1,498,0;0;0;0;0;100;51;69;37;66;89;53,task:3;informational:56;navigational:11;commercial:26;transactional:4
Neurologists in Park Ridge and Lutheran General,us,0,45,0,theheadachelab.com:0;northwestneuro.com:4;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:1,363,0;0;0;0;0;100;68;66;7;6;44;29,task:3;informational:18;navigational:40;commercial:34;transactional:5
Magnesium Supplements and Benefits,us,0,77,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:2,4249119,0;0;0;0;0;85;80;91;92;100;100;100,task:2;informational:69;navigational:5;commercial:20;transactional:4
Migraine and Headache Management,us,0,75,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:5,1724222,0;0;0;0;0;88;91;100;94;86;86;86,task:2;informational:75;navigational:5;commercial:15;transactional:3
Occipital Neuralgia and Head Pain,us,0,76,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:1,711843,0;0;0;0;0;98;100;99;99;99;99;99,task:8;informational:82;navigational:4;commercial:6
Head and Neck Pain and Headaches,uk,0,75,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:1;innovative-medspa.com:0;synergyheadache.com:0,703797,0;0;0;0;0;100;91;88;85;83;83;83,task:8;informational:75;navigational:5;commercial:7;transactional:5
Headache Relief and Sinus Pain Management,us,0,75,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,609703,0;0;0;0;0;98;98;100;90;88;88;88,task:2;informational:74;navigational:3;commercial:18;transactional:3
Magnesium and Muscle Cramps,us,0,79,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:1,302472,0;0;0;0;0;57;51;93;98;100;100;100,task:2;informational:75;navigational:5;commercial:15;transactional:3
Migraine and Sugar Triggers,us,0,70,0,theheadachelab.com:0;northwestneuro.com:3;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,153488,0;0;0;0;0;100;98;98;97;95;95;95,task:4;informational:84;navigational:3;commercial:9
Beneficios y Usos del Magnesio,us,0,74,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:1,130556,0;0;0;0;0;100;94;83;84;80;80;80,task:2;informational:76;navigational:5;commercial:12;transactional:5
Magnesium and Migraines,us,0,69,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:27,109910,0;0;0;0;0;87;87;95;91;100;100;100,task:2;informational:72;navigational:4;commercial:16;transactional:6
Chronic and Persistent Headache Management,us,0,73,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:2,19545,0;0;0;0;0;85;100;99;97;96;97;97,task:2;informational:80;navigational:5;commercial:10;transactional:3
Nu Skin Products and Company Overview,us,0,70,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,16998,0;0;0;0;0;90;100;85;86;94;95;95,task:2;informational:46;navigational:20;commercial:21;transactional:11
Parkinson's Disease and Movement Disorder Care,us,0,72,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,15012,0;0;0;0;0;100;73;85;84;87;86;80,task:5;informational:51;navigational:5;commercial:22;transactional:17
Migraine Supplements and Vitamins,uk,0,25,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:2,12471,0;0;0;0;0;41;35;54;79;80;72;100,task:8;informational:64;navigational:5;commercial:19;transactional:4
Migraine Nasal Sprays and Medications,us,0,61,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:1,10708,0;0;0;0;0;51;55;63;97;100;100;100,task:5;informational:64;navigational:5;commercial:21;transactional:5
Migraine Nutrition & Supplements,ca,0,30,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:4,10586,0;0;0;0;0;77;77;79;94;100;100;100,task:2;informational:74;navigational:5;commercial:16;transactional:3
Chicago Dermatology and Aesthetics,us,0,60,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,9221,0;0;0;0;0;83;78;83;100;97;98;99,task:3;informational:24;navigational:34;commercial:29;transactional:10
Headache and Head Pain Centers,us,0,52,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:1,7201,0;0;0;0;0;94;91;98;94;97;100;99,task:7;informational:60;navigational:15;commercial:10;transactional:8
Neurology Clinics & Centers,in,0,63,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,6537,0;0;0;0;0;83;28;31;99;100;100;99,task:1;informational:44;navigational:17;commercial:27;transactional:11
ALS Medical and Support Resources,us,0,71,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,5607,0;0;0;0;0;37;47;100;94;80;74;69,task:2;informational:53;navigational:8;commercial:13;transactional:24
massage and med spa memberships,us,0,56,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,3295,0;0;0;0;0;100;79;72;65;62;62;63,task:5;informational:39;navigational:9;commercial:33;transactional:14
Magnésio e Coenzima Q10 para Enxaqueca,br,0,62,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:1,3204,0;0;0;0;0;27;53;71;100;94;81;81,task:2;informational:63;navigational:1;commercial:30;transactional:4
Salt Facial and Medical Aesthetics,us,0,26,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,2984,0;0;0;0;0;100;27;92;87;89;90;89,task:2;informational:44;navigational:19;commercial:17;transactional:18
Headache and Neurology Treatment Centers,us,0,48,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:1;innovative-medspa.com:0;synergyheadache.com:0,2797,0;0;0;0;0;100;85;58;38;62;61;46,informational:45;navigational:30;commercial:15;transactional:10
Chicago Colon and Internal Cleansing,us,0,51,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,2716,0;0;0;0;0;100;81;55;46;52;59;81,task:3;informational:41;navigational:14;commercial:36;transactional:6
Med Spa Chicago,us,0,47,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:3;synergyheadache.com:0,2695,0;0;0;0;0;84;96;98;97;95;98;100,task:2;informational:18;navigational:28;commercial:37;transactional:15
Findlay Ohio Medical and Healthcare Services,us,0,36,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,2249,0;0;0;0;0;100;95;99;46;85;82;74,task:2;informational:42;navigational:9;commercial:39;transactional:8
Legal and Personal Profiles of Aliza and Sanford Sherman,us,0,25,0,theheadachelab.com:0;northwestneuro.com:3;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,2200,0;0;0;0;0;100;84;85;81;81;88;77,task:3;informational:69;navigational:4;commercial:15;transactional:9
Dr. Santwani and Medical Professional Profiles,us,0,60,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,2170,0;0;0;0;0;46;34;100;58;58;91;78,task:7;informational:47;navigational:21;commercial:21;transactional:4
Kuhlman Medical Professionals,us,0,38,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,2157,0;0;0;0;0;77;61;100;96;84;90;77,task:2;informational:26;navigational:32;commercial:35;transactional:5
Neurology and Medical Practice in Tulsa,us,0,31,0,theheadachelab.com:0;northwestneuro.com:2;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,2006,0;0;0;0;0;94;100;91;75;91;65;59,task:5;informational:59;navigational:9;commercial:24;transactional:3
Chicago Aesthetic and Botox Treatments,us,0,56,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:4;synergyheadache.com:0,1993,0;0;0;0;0;100;96;94;83;90;92;94,task:2;informational:45;navigational:12;commercial:35;transactional:6
Chicago Medical Centers and Healthcare Facilities,us,0,57,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,1912,0;0;0;0;0;100;93;60;57;83;81;59,task:3;informational:53;navigational:22;commercial:18;transactional:4
Chicago Laser Hair Removal and Skin Treatments,us,0,46,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:3;synergyheadache.com:0,1891,0;0;0;0;0;87;100;100;87;92;94;95,task:3;informational:44;navigational:9;commercial:33;transactional:11
Neurology and Multiple Sclerosis Questions,us,0,56,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,1820,0;0;0;0;0;60;77;64;22;24;97;100,task:7;informational:80;navigational:2;commercial:6;transactional:5
Avant Garde Hair & Spa Services,us,0,19,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,1797,0;0;0;0;0;84;85;81;88;97;99;100,informational:16;navigational:39;commercial:38;transactional:7
Yamato Massage and Foot Spa in Chicago,us,0,21,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,1792,0;0;0;0;0;35;61;54;55;98;100;57,informational:40;navigational:34;commercial:22;transactional:4
Headache Treatment Centers and Clinics,us,0,54,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:4;innovative-medspa.com:0;synergyheadache.com:0,1688,0;0;0;0;0;16;16;12;100;69;60;50,task:3;informational:41;navigational:30;commercial:14;transactional:12
Emsculpt vs CoolSculpting Comparison,us,0,34,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,1577,0;0;0;0;0;100;99;80;58;27;25;26,task:5;informational:47;navigational:1;commercial:45;transactional:2
Lombard and Illinois Asian Massage & Spa Services,us,0,46,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,1551,0;0;0;0;0;46;36;50;54;93;100;66,task:7;informational:17;navigational:40;commercial:30;transactional:6
"3000 North Halsted, Chicago Location",us,0,58,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:1;innovative-medspa.com:0;synergyheadache.com:0,1542,0;0;0;0;0;69;83;85;75;74;100;82,informational:28;navigational:53;commercial:8;transactional:11
Fayetteville Neurology and Psychiatry Services,us,0,40,0,theheadachelab.com:0;northwestneuro.com:2;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,1527,0;0;0;0;0;100;73;52;65;77;88;82,task:2;informational:22;navigational:34;commercial:37;transactional:5
Neurology and Medical Professionals Search,us,0,64,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,1373,0;0;0;0;0;100;75;73;46;65;66;59,task:2;informational:66;navigational:10;commercial:14;transactional:8
Chicago Microneedling and Aesthetic Treatments,us,0,45,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:3;synergyheadache.com:0,1313,0;0;0;0;0;43;78;78;98;99;99;100,task:2;informational:57;navigational:9;commercial:28;transactional:4
Lip Enhancement and Filler Procedures in Chicago,us,0,39,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:3;synergyheadache.com:0,1288,0;0;0;0;0;57;100;70;73;75;76;77,task:2;informational:40;navigational:19;commercial:32;transactional:7
Jobs in Okemos and Nearby Areas,us,0,72,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,1286,0;0;0;0;0;68;100;41;65;65;26;18,task:10;informational:32;navigational:25;commercial:28;transactional:5
Vitaminas y magnesio para la migraña,mx,0,41,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:1,1124,0;0;0;0;0;99;100;89;88;84;84;84,task:10;informational:68;navigational:5;commercial:14;transactional:3
Cosmetic Surgery and Medical Spa Services in Chicago,us,0,59,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:2;synergyheadache.com:0,1106,0;0;0;0;0;88;89;100;95;96;72;72,task:4;informational:56;navigational:15;commercial:20;transactional:5
Chicago MRI and Diagnostic Imaging Centers,us,0,47,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,1067,0;0;0;0;0;76;80;100;86;70;71;73,informational:31;navigational:38;commercial:20;transactional:11
Neurologists in Crystal Lake,us,0,41,0,theheadachelab.com:0;northwestneuro.com:15;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,1017,0;0;0;0;0;52;29;34;27;27;100;74,task:3;informational:59;navigational:8;commercial:19;transactional:11
