# ----------------------------------------
# The Headache Lab
# 5 day page title-Free form 1
# 20260323-20260327
# ----------------------------------------

Page title,New users,Active users,Returning users,Total users,Sessions,Engagement rate,Average engagement time per session
,28,35,15,36,58,0.4827586206896552,43.62068965517241,Grand total
Migraine Specialist In Evergreen Park | The Headache Lab,15,21,7,21,28,0.6428571428571429,21.928571428571427
"Migraine & Headache Treatment Westmont, IL | The Headache Lab",8,9,3,9,15,0.4666666666666667,55.6
Botox For Blepharospasm & Eye Twitching | The Headache Lab,2,4,1,4,5,0.8,63.8
Meet Our Migraine Specialists In The Chicago Suburbs | The Headache Lab,2,3,1,3,4,0.75,12.5
Botox For Chronic Migraine Treatment | The Headache Lab,1,5,2,5,9,0.5555555555555556,26.444444444444443
Blepharospasm Treatment | The Headache Lab,0,2,1,2,2,1,6
Botox For Cervical Dystonia | The Headache Lab,0,1,1,1,2,0,0
Botox Savings Program | The Headache Lab Evergreen Park,0,3,2,3,4,1,57.75
Cervical Dystonia Treatment | The Headache Lab,0,1,1,1,1,1,105
Conditions We Treat | The Headache Lab,0,1,1,1,1,1,0
Headache Specialist Evergreen Park Insurance & Billing | The Headache Lab,0,1,0,1,1,1,25
Headache Specialist Evergreen Park | Contact The Headache Lab,0,1,1,1,1,1,19
Migraine Quiz | Find Your Headache Relief Plan – Evergreen Park,0,1,0,2,2,0.5,3
Our Story | Migraine Treatment Evergreen Park | The Headache Lab,0,1,1,1,1,0,9
Page Not Found | The Headache Lab,0,3,1,3,4,0.5,0.5
Patient Resources | The Headache Lab,0,1,0,1,1,1,49
Treatment Options | Headache Specialist Evergreen Park – The Headache Lab,0,3,2,3,4,1,4.25

